;Final_name
ASV_388;ASV_388_Entotheonellaeota_Entotheonellaceae_NA
ASV_389;ASV_389_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_390;ASV_390_Dadabacteria_NA_NA
ASV_391;ASV_391_Chloroflexi_Caldilineaceae_NA
ASV_392;ASV_392_Proteobacteria_EF100-94H03_NA
ASV_393;ASV_393_Proteobacteria_Nitrosococcaceae_AqS1
ASV_394;ASV_394_Myxococcota_NA_NA
ASV_395;ASV_395_Myxococcota_NA_NA
ASV_396;ASV_396_Proteobacteria_NA_NA
ASV_397;ASV_397_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_398;ASV_398_Acidobacteriota_NA_NA
ASV_399;ASV_399_AncK6_NA_NA
ASV_400;ASV_400_Chloroflexi_A4b_NA
ASV_401;ASV_401_Bacteroidota_Rhodothermaceae_NA
ASV_402;ASV_402_Acidobacteriota_NA_NA
ASV_403;ASV_403_NB1-j_NA_NA
ASV_404;ASV_404_Proteobacteria_Clade I_Clade Ia
ASV_405;ASV_405_Chloroflexi_NA_NA
ASV_406;ASV_406_Acidobacteriota_NA_NA
ASV_407;ASV_407_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_408;ASV_408_Chloroflexi_NA_NA
ASV_409;ASV_409_Myxococcota_NA_NA
ASV_410;ASV_410_Chloroflexi_NA_NA
ASV_411;ASV_411_Actinobacteriota_Microtrichaceae_Sva0996 marine group
ASV_412;ASV_412_Acidobacteriota_NA_NA
ASV_413;ASV_413_NB1-j_NA_NA
ASV_414;ASV_414_Bacteroidota_Flavobacteriaceae_Tenacibaculum
ASV_415;ASV_415_PAUC34f_NA_NA
ASV_416;ASV_416_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopumilus
ASV_417;ASV_417_Crenarchaeota_Nitrosopumilaceae_Candidatus Nitrosopelagicus
ASV_418;ASV_418_Proteobacteria_NA_NA
ASV_419;ASV_419_Chloroflexi_Caldilineaceae_NA
ASV_420;ASV_420_Proteobacteria_Vibrionaceae_Vibrio
ASV_421;ASV_421_Acidobacteriota_NA_NA
ASV_422;ASV_422_Proteobacteria_NA_NA
ASV_423;ASV_423_Chloroflexi_NA_NA
ASV_424;ASV_424_PAUC34f_NA_NA
ASV_425;ASV_425_Spirochaetota_Spirochaetaceae_Spirochaeta
ASV_426;ASV_426_Acidobacteriota_NA_NA
ASV_427;ASV_427_Acidobacteriota_NA_NA
ASV_428;ASV_428_Proteobacteria_NA_NA
ASV_429;ASV_429_Proteobacteria_Rhodobacteraceae_NA
ASV_430;ASV_430_Chloroflexi_NA_NA
ASV_431;ASV_431_Proteobacteria_NA_NA
ASV_432;ASV_432_NB1-j_NA_NA
ASV_433;ASV_433_Chloroflexi_NA_NA
