row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
2195;809.58832;810.59559;1142.06;1-Stearoyl-2-arachidonyl-sn-glycero-3-phosphocholine;;2195_810.59559_1142.06;;0.17824;0.28761;;;;
522;159.1246;160.13187;404.8;2-(2,6-Dimethylmorpholin-4-yl)ethanol;;522_160.13187_404.8;;;;;;;
1629;158.06801;159.07529;67.87;2-(4-Hydroxy-2-oxo-1-pyrrolidinyl)acetamide;;1629_159.07529_67.87;;;;;;;
1690;151.04548;152.05275;71.57;2-(Methylamino)-2,4,6-cycloheptatriene-1-thione;;1690_152.05275_71.57;;;;;;;
921;250.17808;251.18536;938.29;2,2'-(Oxydimethanediyl)bis(2-ethylpropane-1,3-diol);;921_251.18536_938.29;;0.5332;0.6174;;;;
2099;186.06943;187.07671;1010.97;2,2'-Dihydroxybiphenyl;;2099_187.07671_1010.97;;;;;;;
1029;146.10649;147.11376;1079.17;2,2-Dimethylpiperazine-1,4-diol;;1029_147.11376_1079.17;;;;;;;
1157;300.1361;301.14338;1202.15;2,3,5,7-Tetramethoxy-9,10-dihydrophenanthrene;;1157_301.14338_1202.15;;0.29166;0.67454;;;;
681;192.14708;193.15436;530.72;2-[2-[2-(2-Aminoethoxy)ethoxy]ethoxy]ethylamine;;681_193.15436_530.72;;;;;;;
2281;192.14641;193.15369;1210.18;2-[2-[2-(2-Aminoethoxy)ethoxy]ethoxy]ethylamine;;2281_193.15369_1210.18;;0.53712;0.13527;;;;
1405;286.13953;287.1468;1307.6;2-{2-[2-(Methacryloyloxy)ethoxy]ethoxy}ethyl 2-methylacrylate;;1405_287.1468_1307.6;;0.54711;0.086075;;;;
2413;157.14609;158.15337;1299.07;2-Amino-3-cyclohexylpropan-1-ol;;2413_158.15337_1299.07;;0.61756;1.1729;;;;
449;207.03912;208.04639;276.46;2-Amino-4-oxo-3,4-dihydro-7-pteridinecarboxylic acid;;449_208.04639_276.46;;;;;;;
1673;231.01801;232.02528;70.03;2-Chloro-10H-pyridazino[6,1-b]quinazolin-10-one;;1673_232.02528_70.03;;;;;;;
396;285.97519;286.98246;72.26;2-Chloro-N-[4-(4-chlorophenyl)-1,3-thiazol-2-yl]acetamide;;396_286.98246_72.26;;;;;;;
1643;174.10346;175.11074;69.44;2-Propyl-1-indanone;;1643_175.11074_69.44;;1.4717;2.2152;;;;
890;257.23353;258.24081;851.81;2S-Amino-4E-pentadecene-1,3R-diol;;890_258.24081_851.81;;;;-130.2900485;C15H31NO2;null;PubChem:(55093333)
494;250.00849;251.01577;360.94;3-(Ethanesulfonyl)pyridine-2-sulfonamide;;494_251.01577_360.94;;;;;;;
